stud_number;first_name;last_name;gender;email;stud_role;asso_name;asso_desc
9699114;Ludwig;JACQUET;M;ludwig.jacquet@etudiant.univ-rennes1.fr;president;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
1978626;Rolande;ROUAULT;F;rolande.rouault@etudiant.univ-rennes1.fr;vice-president;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
5421882;Pierre Louis;PRIEUR;H;pierre louis.prieur@etudiant.univ-rennes1.fr;secretary;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
8737405;Jean-Brice;GENDREAU;garçon;jean-brice.gendreau@etudiant.univ-rennes1.fr;treasurer;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
9662058;Philppe;VEGER;garçon;philppe.veger@etudiant.univ-rennes1.fr;president;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
7680585;Jean-Pierre;MORISSET;garçon;jean-pierre.morisset@etudiant.univ-rennes1.fr;vice-president;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
6223280;Martial;FRETTE;M;martial.frette@etudiant.univ-rennes1.fr;secretary;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
2265713;Jean-Luc;GROSBOIS;M;jean-luc.grosbois@etudiant.univ-rennes1.fr;treasurer;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
5148985;Jean-Fred;FRIBAULT;H;jean-fred.fribault@etudiant.univ-rennes1.fr;president;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
4266865;Rachida;VERGNEAU;F;rachida.vergneau@etudiant.univ-rennes1.fr;vice-president;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
3946299;Alberto;DEVEAU;M;alberto.deveau@etudiant.univ-rennes1.fr;secretary;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
