stud_number;first_name;last_name;gender;email;registration_date;payment_date;registration_fee;year
7719175;Eliane;CHOISNE;M;eliane.choisne@etudiant.univ-rennes1.fr;2021-10-08;2021-11-07;20.5;2022
7208231;Florian;COEFFARD;M;florian.coeffard@etudiant.univ-rennes1.fr;2021-10-01;2021-10-01;20.5;2022
5876984;Jacob;ROUSSIERE;garçon;jacob.roussiere@etudiant.univ-rennes1.fr;2021-10-10;2021-11-09;20.5;2022
2486399;Hortense;GUEFFIER;W;hortense.gueffier@etudiant.univ-rennes1.fr;2021-10-10;2021-10-10;20.5;2022
7874799;Timothée;COUILLAUD;H;timothee.couillaud@etudiant.univ-rennes1.fr;2021-09-27;2021-10-27;20.5;2022
2321657;Léonie;RELION;F;leonie.relion@etudiant.univ-rennes1.fr;2021-10-09;2021-10-09;20.5;2022
1056327;Prosper;FERRON;H;prosper.ferron@etudiant.univ-rennes1.fr;2021-09-23;2021-09-23;20.5;2022
2357186;Marie-Helene;COUVREUR;W;marie-helene.couvreur@etudiant.univ-rennes1.fr;2021-09-25;2021-09-25;20.5;2022
8298259;Béatrix;CHOISNET;fille;beatrix.choisnet@etudiant.univ-rennes1.fr;2021-09-15;2021-09-15;20.5;2022
7085217;Geneviève;RAGUIN;W;genevieve.raguin@etudiant.univ-rennes1.fr;2021-10-17;2021-11-16;20.5;2022
2542500;Karl;ANIS;H;karl.anis@etudiant.univ-rennes1.fr;2021-10-15;2021-11-14;20.5;2022
9699114;Ludwig;JACQUET;M;ludwig.jacquet@etudiant.univ-rennes1.fr;2021-09-24;2021-10-24;20.5;2022
6060655;Gina;GUILLEMET;fille;gina.guillemet@etudiant.univ-rennes1.fr;2021-10-16;2021-10-16;20.5;2022
3656441;Camille;BOUET;garçon;camille.bouet@etudiant.univ-rennes1.fr;2021-10-09;2021-10-09;20.5;2022
5857152;Alphonse;GOIZET;M;alphonse.goizet@etudiant.univ-rennes1.fr;2021-10-16;2021-10-16;20.5;2022
8264456;Juliette;RENOUX;F;juliette.renoux@etudiant.univ-rennes1.fr;2021-10-21;2021-11-20;20.5;2022
2199095;Marie-Bernadette;PERRON;fille;marie-bernadette.perron@etudiant.univ-rennes1.fr;2021-10-10;2021-11-09;20.5;2022
3808222;Frantz;REVERDY;M;frantz.reverdy@etudiant.univ-rennes1.fr;2021-09-18;2021-10-18;20.5;2022
1443127;Marie-Céline;DENECHERE;fille;marie-celine.denechere@etudiant.univ-rennes1.fr;2021-10-02;;20.5;2022
8841242;Françoise;BOUDIER;M;francoise.boudier@etudiant.univ-rennes1.fr;2021-10-05;2021-10-05;20.5;2022
1548313;Claude;PAULEAU;F;claude.pauleau@etudiant.univ-rennes1.fr;2021-10-08;2021-10-08;20.5;2022
7812504;Steeve;LUCAS;H;steeve.lucas@etudiant.univ-rennes1.fr;2021-09-21;2021-09-21;20.5;2022
6826493;Dimitri;PERRAUD;garçon;dimitri.perraud@etudiant.univ-rennes1.fr;2021-10-08;2021-10-08;20.5;2022
6684033;Nicole;PREZELIN;M;nicole.prezelin@etudiant.univ-rennes1.fr;2021-10-25;2021-11-24;20.5;2022
6987488;Lise-Marie;BEAUMIER;W;lise-marie.beaumier@etudiant.univ-rennes1.fr;2021-09-12;2021-09-12;20.5;2022
1489259;Marie-Joelle;HAMON;fille;marie-joelle.hamon@etudiant.univ-rennes1.fr;2021-10-11;2021-11-10;20.5;2022
1816455;Guy;GEFFARD;M;guy.geffard@etudiant.univ-rennes1.fr;2021-10-27;2021-11-26;20.5;2022
8799340;Edouard;PANTAIS;H;edouard.pantais@etudiant.univ-rennes1.fr;2021-09-17;2021-09-17;20.5;2022
9419081;Arnauld;MESNARD;garçon;arnauld.mesnard@etudiant.univ-rennes1.fr;2021-09-28;2021-09-28;20.5;2022
1865983;Jean-Léon;CHEREAU;H;jean-leon.chereau@etudiant.univ-rennes1.fr;2021-10-21;2021-11-20;20.5;2022
4142842;Jean-José;BONNEAU;M;jean-jose.bonneau@etudiant.univ-rennes1.fr;2021-09-27;2021-09-27;20.5;2022
4720458;Godefroy;CHENE;garçon;godefroy.chene@etudiant.univ-rennes1.fr;2021-09-27;2021-09-27;20.5;2022
7680585;Jean-Pierre;MORISSET;garçon;jean-pierre.morisset@etudiant.univ-rennes1.fr;2021-09-21;2021-09-21;20.5;2022
2492393;Moussa;LEMOINE;H;moussa.lemoine@etudiant.univ-rennes1.fr;2021-09-25;2021-09-25;20.5;2022
7552324;Huguette;LAMBERT;W;huguette.lambert@etudiant.univ-rennes1.fr;2021-09-15;2021-09-15;20.5;2022
1143077;Stéphane;BOISTAULT;F;stephane.boistault@etudiant.univ-rennes1.fr;2021-09-13;2021-09-13;20.5;2022
3654729;Cendrine;GOHIER;F;cendrine.gohier@etudiant.univ-rennes1.fr;2021-10-20;2021-10-20;20.5;2022
9875243;Gwenola;POITOU;fille;gwenola.poitou@etudiant.univ-rennes1.fr;2021-09-12;2021-10-12;20.5;2022
6838348;Jean-Charles;LEBRUN;H;jean-charles.lebrun@etudiant.univ-rennes1.fr;2021-10-16;2021-10-16;20.5;2022
3273815;John;RIVAULT;garçon;john.rivault@etudiant.univ-rennes1.fr;2021-10-23;2021-10-23;20.5;2022
7272063;Valérie;MAILLOCHON;fille;valerie.maillochon@etudiant.univ-rennes1.fr;2021-09-18;2021-09-18;20.5;2022
4726982;Doris;LANDRY;fille;doris.landry@etudiant.univ-rennes1.fr;2021-10-09;2021-10-09;20.5;2022
7339596;Najia;ALIGON;W;najia.aligon@etudiant.univ-rennes1.fr;2021-09-17;2021-09-17;20.5;2022
6949831;Edwige;CHATEIGNER;F;edwige.chateigner@etudiant.univ-rennes1.fr;2021-10-10;2021-10-10;20.5;2022
7930059;Marianne;LE GAL;H;marianne.le gal@etudiant.univ-rennes1.fr;2021-10-07;2021-10-07;20.5;2022
1704351;Inès;﻿MARTIN;fille;ines.martin@etudiant.univ-rennes1.fr;2021-10-16;2021-10-16;20.5;2022
138039;Helen;COIFFARD;fille;helen.coiffard@etudiant.univ-rennes1.fr;2021-10-24;2021-11-23;20.5;2022
7971456;Salim;GRIFFON;M;salim.griffon@etudiant.univ-rennes1.fr;2021-09-17;2021-09-17;20.5;2022
8623571;Kheira;ROTUREAU;W;kheira.rotureau@etudiant.univ-rennes1.fr;2021-10-25;2021-11-24;20.5;2022
6413651;Jean-Michel;BOURBON;garçon;jean-michel.bourbon@etudiant.univ-rennes1.fr;2021-10-13;2021-10-13;20.5;2022
1119943;Maude;ALGOURDIN;fille;maude.algourdin@etudiant.univ-rennes1.fr;2021-10-02;2021-11-01;20.5;2022
316232;Marcel;FAURE;H;marcel.faure@etudiant.univ-rennes1.fr;2021-10-22;2021-10-22;20.5;2022
7467470;Helga;GERNIGON;F;helga.gernigon@etudiant.univ-rennes1.fr;2021-09-27;2021-09-27;20.5;2022
6713791;Andrée;GUEDON;F;andree.guedon@etudiant.univ-rennes1.fr;2021-10-12;2021-10-12;20.5;2022
3479955;Marie-Elisabeth;RAVARY;F;marie-elisabeth.ravary@etudiant.univ-rennes1.fr;2021-10-07;2021-11-06;20.5;2022
6393605;Huguette;BOURBON;W;huguette.bourbon@etudiant.univ-rennes1.fr;2021-09-22;2021-10-22;20.5;2022
6507216;Paul-André;LEFEVRE;H;paul-andre.lefevre@etudiant.univ-rennes1.fr;2021-09-17;2021-10-17;20.5;2022
4239662;Ursula;LHERBETTE;fille;ursula.lherbette@etudiant.univ-rennes1.fr;2021-09-22;2021-09-22;20.5;2022
5089004;Vincenza;DELAHAIE;fille;vincenza.delahaie@etudiant.univ-rennes1.fr;2021-10-04;2021-10-04;20.5;2022
2206687;Marie Paule;GODEFROY;F;marie paule.godefroy@etudiant.univ-rennes1.fr;2021-09-29;2021-10-29;20.5;2022
975616;Ghislaine;GUIARD;garçon;ghislaine.guiard@etudiant.univ-rennes1.fr;2021-10-03;2021-10-03;20.5;2022
7850964;Chistophe;GUIARD;H;chistophe.guiard@etudiant.univ-rennes1.fr;2021-09-13;2021-09-13;20.5;2022
8099037;Maïté;BARAUD;W;maite.baraud@etudiant.univ-rennes1.fr;2021-10-17;2021-10-17;20.5;2022
9976281;Jean-Richard;RAPICAULT;M;jean-richard.rapicault@etudiant.univ-rennes1.fr;2021-09-14;2021-09-14;20.5;2022
2743060;Denise;BROUARD;F;denise.brouard@etudiant.univ-rennes1.fr;2021-09-23;2021-09-23;20.5;2022
6768024;Ida;DAVIAU;F;ida.daviau@etudiant.univ-rennes1.fr;2021-10-07;2021-10-07;20.5;2022
3635356;Jean Toussaint;MICHELET;H;jean toussaint.michelet@etudiant.univ-rennes1.fr;2021-10-14;2021-10-14;20.5;2022
145894;Marie Noelle;COSTE;fille;marie noelle.coste@etudiant.univ-rennes1.fr;2021-10-14;2021-10-14;20.5;2022
8775967;Claudio;ROUILLE;M;claudio.rouille@etudiant.univ-rennes1.fr;2021-10-27;2021-10-27;20.5;2022
6558582;Marie-Line;CHARPENTIER;F;marie-line.charpentier@etudiant.univ-rennes1.fr;2021-10-01;2021-10-01;20.5;2022
34297;Marie-Astrid;TROST;F;marie-astrid.trost@etudiant.univ-rennes1.fr;2021-10-12;2021-10-12;20.5;2022
2314513;Martha;COULOT;F;martha.coulot@etudiant.univ-rennes1.fr;2021-09-17;2021-09-17;20.5;2022
8775240;Manuela;MESANGE;F;manuela.mesange@etudiant.univ-rennes1.fr;2021-10-20;2021-10-20;20.5;2022
